Opening,Plot,Lat,Long,Aspect,Slope.pct,BGC.unit,Site.series,SMR,SNR
154_75,1,6051081,504908,252,12,SBSmk1,1,4,D
154_75,2,6051073,504916,252,12,SBSmk1,1,4,D
154_75,3,6051022,504916,252,12,SBSmk1,1,4,D
154_75,4,6050978,504887,298,25,SBSmk1,1,4,C
154_75,5,6030982,504859,300,18,SBSmk1,1,4,C
154_75,6,6050977,504861,300,18,SBSmk1,1,4,C
154_75,7,6050967,504868,310,25,SBSmk1,1,4,C
609_151,1,6027892,522267,80,5,SBSmk1,1,4,C
609_151,2,6027876,522262,114,10,SBSmk1,5,4,C
609_151,3,6027825,522212,112,3,SBSmk1,1,4,C
609_151,4,6027879,522268,105,10,SBSmk1,5,3,C
609_151,5,6027871,522275,112,20,SBSmk1,5,3,C
609_151,6,6027855,522255,112,15,SBSmk1,1,3,C
609_151,7,6027844,522263,112,30,SBSmk1,5,3,C
609_151,8,6027875,522205,,0,SBSmk1,1,4,C
609_151,9,6027872,522211,,,SBSmk1,1,4,C
609_151,10,6027854,522187,,,SBSmk1,1,4,C
609_151,11,6027855,522204,,,SBSmk1,1,4,C
835_063,1,6096938,514352,226,55,SBSwk1,3,2,C
835_063,2,6096968,514333,224,5,SBSwk1,5,3,C
835_063,3,6097044,514279,,2,SBSwk1,5,3,C
835_063,4,6096977,514302,224,40,SBSwk1,5,3,C
835_063,5,6096945,514328,224,35,SBSwk1,1,4,C
835_063,6,6096947,514317,212,36,SBSwk1,1,4,C
835_063,7,6096942,514349,55,,SBSwk1,3,2,C
835_063,8,609775,514265,,,SBSwk1,5,3,C
292_067,1,6035212,494476,208,15,SBSmk1,1,4,C
292_067,2,6035225,494458,209,19,SBSmk1,1,4,C
292_067,3,6035225,494431,209,20,SBSmk1,1,4,C
292_067,4,6035236,494410,209,20,SBSmk1,1,4,C
411_1A,1,597780,554405,,,SBSwk1,5,3,B
411_1A,2,5977816,554442,,,SBSwk1,3,3,B
411_1A,3,5977837,554448,,,SBSwk1 ,3,2,B
411_1A,4,5978007,554446,,0,SBSwk1 ,3,3,B
411_1A,5,5977997,554451,,,SBSwk1,3,3,B
411_1A,6,5978037,554418,,,SBSwk1,1,4,C
411_1A,7,5978034,554393,102,37,SBSwk1 ,4,2,B
411_1A,8,5978026,554387,102,37,SBSwk1,4,2,B
411_1A,9,5977994,554412,,,SBSwk1,3,3,B
411_1A,10,5977976,554357,117,,SBSwk1,5,4,C
411_1A,11,5977958,554354,115,,SBSwk1,7,5,D
411_1A,12,5977965,554384,,,SBSwk1,5,4,B
411_1A,13,5977950,554363,,,SBSwk1,3,2,B
411_1A,14,,,115,15,SBSwk1,7,5,C
411_1A,15,5977944,554371,,,SBSwk1,5,4,B
411_1A,16,,,115,15,SBSwk1,5,4,B
411_1A,17,5977846,554405,,,SBSwk1,5,3,B
409_03,1,5982832,553901,355,5,SBSwk1,1,4,C
409_03,2,5982818,553847,,,SBSwk1,5,4,C
409_03,3,5982835,553846,,0,SBSwk1,1,4,C
409_03,4,5982836,553876,,,SBSwk1,1,4,C
409_03,5,5982922,553938,,,SBSwk1,1,4,C
409_03,6,5982951,553901,,,SBSwk1,1,4,C
409_03,7,5982919,553840,,,SBSwk1,1,5,C
409_03,8,5982882,553783,,,SBSwk1,1,4,C
409_03,9,,,,,SBSwk1,1,4,C
Carmella ,1,6169526,432172,133,45,ESSFmv3,8,3,C
Carmella ,2,6169544,4321783,133,40,ESSFmv3,8,3,C
907_162,1,6062685,534101,,,SBSwk1,3,2,B
907_162,2,6062759,534084,19,35,SBSwk1,3,1,B
907_162,3,6062795,534089,270,,SBSwk1,3,1,B
907_162,4,6062810,534099,326,20,SBSwk1,3,2,B
907_162,5,6062829,534117,138,30,SBSwk1,3,3,B
907_162,6,6062857,534123,300,25,SBSwk1,5,4,C
907_162,7,6062822,534161,,0,SBSwk1,3,2,B
907_162,8,6062789,534141,152,15,SBSwk1,3,3,B
Crkscrw_200,1,,,,,SBSmc2,1,3,C
Crkscrw_200,2,,,,,SBSmc2,1,3,C
Crkscrw_200,3,,,,,SBSmc2,1,3,C
Crkscrw_200,4,,,,,SBSmc2,1,4,C
Crkscrw_200,5,,,,,SBSmc2,1,4,C
Crkscrw_200,6,,,,,SBSmc2,1,4,C
Crkscrw_200,7,,,,,SBSmc2,1,4,C
Crkscrw_200,8,,,,,SBSmc2,1,3,C
Crkscrw_200,9,,,,,SBSmc2,1,4,C
Crkscrw_200,10,,,,,SBSmc2,1,4,C
CP3a_BLK7,1,,,,,SBSmk1,7,5,C
CP3a_BLK7,2,,,,,SBSmk1,7,5,C
CP3a_BLK7,3,,,,,SBSmk1,7,5,C
CP3a_BLK7,4,,,,,SBSmk1,7,5,C
CP3a_BLK7,5,,,,,SBSmk1,1,4,C
CP3a_BLK7,6,,,,,SBSmk1,1,4,C
CP3a_BLK7,7,,,,,SBSmk1,1,4,C
