Opening,Plot,Tree.Number,Species,DBH,Height,FG/C/C,Core,FK/CK,DT/BT,Scar,Dmg.Primary,Dmg.Secondary,
154_75,1,1,Lw,20.1,12.7,1,1,,,,,,
154_75,1,2,Lw,16,12.7,1,1,,,,,,
154_75,1,3,Lw,17.6,11.9,1,1,FK3,,,,,
154_75,1,4,Lw,22,12.4,1,1,,,,,,
154_75,1,5,Lw,12.5,10.5,1,,,,,,,
154_75,1,6,Lw,4.5,4.7,3,,,DT,,,,
154_75,2,1,Lw,16.1,10.8,2,1,,,,,,
154_75,2,2,Lw,15.8,11.7,2,1,,,1,,,
154_75,2,3,Lw,17.3,12.7,2,1,,,,,,
154_75,2,4,Lw,16.7,11.8,2,1,,,,,,
154_75,3,1,Lw,15.8,10.9,2,1,,,,,,
154_75,3,2,Lw,14.9,11.4,2,1,,,,,,
154_75,3,3,Lw,17.1,11.9,2,1,3,,,twin leader,,
154_75,3,4,Lw,16.3,10.6,2,1,,,,,,
154_75,3,5,Lw,15.4,11.6,2,1,,,,,,
154_75,3,6,Ac,9.8,10.1,2,,,,,,,
154_75,3,7,Ac,4.9,4,4,,,,,,,
154_75,3,8,Ac,6.5,8.3,3,,2,,,,,
154_75,3,9,Ac,4.5,6.4,3,,,,1,,,
154_75,3,10,Ac,6.9,6.2,3,,,,1,,,
154_75,3,11,Bl,6.2,4.9,3,,,,,,,
154_75,4,1,Lw ,16.7,8.6,2,1,,,,,,
154_75,4,2,Lw,19.6,9.1,2,1,3,,,,,
154_75,4,3,Lw,16.2,10.8,2,1,,,,,,
154_75,4,4,Lw,19.1,11.1,2,1,,,,,,
154_75,5,1,Pl,16.2,8.3,2,1,3,,,,,
154_75,5,2,Lw,11.4,8.6,2,1,,,,CAD,,
154_75,5,3,Lw,13.7,6.4,3,,7,,,,,
154_75,5,4,Sx,8.2,3,4,,7,,,,,
154_75,5,5,Ls,16.7,7.5,2,,7,,,,,
154_75,5,6,Ac,5.5,5.5,3,,,,,,,
154_75,5,7,Bl,10.5,6.4,,,,,,,,
154_75,6,1,Pl,13.2,7,2,1,3,,,,,
154_75,6,2,Lw,14.6,7.8,2,1,,,,,,
154_75,6,3,Lw,5,4.2,3,,1,,,,,
154_75,6,4,Lw,4.2,4,3,,1,,,,,
154_75,6,5,At,4.6,6.1,3,,,,,,,
154_75,7,1,Lw,18.1,9.3,2,,,,,,,
154_75,7,2,Lw,8.2,5,3,,,3,,frost,,
154_75,7,3,Lw,8.8,6.5,3,,1,,,AH,,
154_75,7,4,Lw,19.2,11.6,1,1,,,,,,
154_75,7,5,Sx,6.3,4.1,3,,,,,,,
609_151,1,1,Ls,17.6,11.9,2,,,,,,,
609_151,1,2,Ls,16.1,10.5,2,,,,,,,
609_151,1,3,Ls,19.3,12.8,1,,,,,,,
609_151,1,4,Bl,8.5,8.1,3,,,,,,,
609_151,1,5,Bl,7.4,7.3,3,,,,,,,
609_151,1,6,Ls,12.8,8.7,3,,,,,,,
609_151,1,7,Ls,16.4,11.1,2,,,,,,,
609_151,1,8,Pl,19.8,11.2,2,1,,,,,,
609_151,1,9,Pl,17.7,11,2,1,3,,,IBM Green DSG,,
609_151,2,1,Ls,17,10.4,1,,,,,,,
609_151,2,2,Ls,17,10.9,1,,,,,,,
609_151,2,3,Ls,14.3,10.2,1,,,,,,,
609_151,2,4,Pl,7.5,9.5,2,1,,,,,,
609_151,2,5,Pl,10.8,10.9,1,1,,,,,,
609_151,2,6,Pl,13.3,8.5,2,1,,,,,,
609_151,2,7,Pl,11.3,8.7,2,1,,,,,,
