Opening,Species,Seedlot,ProvLatDegree,ProvLatMinute,ProvLongDegree,ProvLongMinute,E_W,Prov_Elevation,Stock
154_75,Lw,43309,50,22,115,35,W,1200,PSB313B
609_151,Lw,43309,50,22,115,35,W,1200,PSB313B
835_063,Lw,43309,50,22,115,35,W,1200,PSB313B
292_067,Lw,43309,50,22,115,35,W,1200,PSB313B
411_1A,Lw,5102,50,5,115,38,W,124,
411_1A,Ls,Raivola provenance,60,44,26,29,E,40,
411_1A,Ld,China,52,19,124,43,E,450,
411_1A,Py,,50,15,121,30,W,450,
409_03,Lw,5076,50,25,116,0,W,1066,PSB311B
Carmella,Ls,,,,,,,,
907_162,Lw,43309,50,22,115,35,W,1200,PSB313B
Crkscrw_200,Lw,,,,,,,,
CP3a_BLK7,Lw,,,,,,,,
CP3a_BLK7,Py,,,,,,,,
