Site Name,Date (D/M/Y),Crew,BAF,Mapsheet,Latitude,Longitude,Target Species,Stock Type,Planting Date (MM/YYYY),Seedlot(s),Origin Location,Origin Latitude,Origin Longitude,Origin Elevation (m),BGC Unit,Comments,Slope (%),Azimuth,Elevation (m),Tree Number,Site Tree,Spp,Total Height (m),DBH(cm),Crown Class,Site Series,BH age,Stem Infec'n,Scar,Fork/Crook,Frost Crack, D or B Top,Sweep,FHF1,FHF2,Other,Dom/ Co-dom,Inter/Supp,Photo Number,Tree Density,Comments,Site,FHF,Competition,Comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fdi-2,08-09-2010,"LM, KM",4,93I076,54.77175,-126.82462,Fdi,2+1 BR,Oct-57,D29,"Shuswap, BC",51.02,-119.85,UNKNOWN,SBSmc2,Trans to ESSFmc,48,220,1060,1,13,Fdi,14.2,22,I,5,36,,,,,,,,,,50,50,"K3, K4, K5",n/a,"K3 - Stand, K4 - Fork on tree 12, K5 - crook","Good site but steep w/ heavy snow load, burned.",Too much snow and frost damage too accept Fdi at this elevation.,Likely early competition from  shrubs delaying early height growth.,"Fdi offsite here. Lot of forks, sweeps and crooks. Snow load too high. Inconsistent, often poor growth compared to Pl and Sx. Sx best. Fd seemed to look better relative to other species on steeper, rockier, S - SW facing slopes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fdi-2,08-09-2010,"LM, KM",4,93I076,54.77175,-126.82462,Fdi,2+1 BR,Oct-57,D29,"Shuswap, BC",51.02,-119.85,UNKNOWN,SBSmc2,Trans to ESSFmc,48,220,1060,2,13,Fdi,16.1,27.9,C,5,37,,,X,,,X,,,,50,50,"K3, K4, K5",n/a,"K3 - Stand, K4 - Fork on tree 12, K5 - crook","Good site but steep w/ heavy snow load, burned.",Too much snow and frost damage too accept Fdi at this elevation.,Likely early competition from  shrubs delaying early height growth.,"Fdi offsite here. Lot of forks, sweeps and crooks. Snow load too high. Inconsistent, often poor growth compared to Pl and Sx. Sx best. Fd seemed to look better relative to other species on steeper, rockier, S - SW facing slopes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fdi-2,08-09-2010,"LM, KM",4,93I076,54.77175,-126.82462,Fdi,2+1 BR,Oct-57,D29,"Shuswap, BC",51.02,-119.85,UNKNOWN,SBSmc2,Trans to ESSFmc,48,220,1060,3,13,Fdi,14,21.4,C,5,34,,,,,,,,,,50,50,"K3, K4, K5",n/a,"K3 - Stand, K4 - Fork on tree 12, K5 - crook","Good site but steep w/ heavy snow load, burned.",Too much snow and frost damage too accept Fdi at this elevation.,Likely early competition from  shrubs delaying early height growth.,"Fdi offsite here. Lot of forks, sweeps and crooks. Snow load too high. Inconsistent, often poor growth compared to Pl and Sx. Sx best. Fd seemed to look better relative to other species on steeper, rockier, S - SW facing slopes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fdi-2,08-09-2010,"LM, KM",4,93I076,54.77175,-126.82462,Fdi,2+1 BR,Oct-57,D29,"Shuswap, BC",51.02,-119.85,UNKNOWN,SBSmc2,Trans to ESSFmc,48,220,1060,4,13,Fdi,5,8.1,S,5,18,,,X,,X,,,,,50,50,"K3, K4, K5",n/a,"K3 - Stand, K4 - Fork on tree 12, K5 - crook","Good site but steep w/ heavy snow load, burned.",Too much snow and frost damage too accept Fdi at this elevation.,Likely early competition from  shrubs delaying early height growth.,"Fdi offsite here. Lot of forks, sweeps and crooks. Snow load too high. Inconsistent, often poor growth compared to Pl and Sx. Sx best. Fd seemed to look better relative to other species on steeper, rockier, S - SW facing slopes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fdi-2,08-09-2010,"LM, KM",4,93I076,54.77175,-126.82462,Fdi,2+1 BR,Oct-57,D29,"Shuswap, BC",51.02,-119.85,UNKNOWN,SBSmc2,Trans to ESSFmc,48,220,1060,5,13,Fdi,21,25.1,C,5,40,,,X,,,,,,,50,50,"K3, K4, K5",n/a,"K3 - Stand, K4 - Fork on tree 12, K5 - crook","Good site but steep w/ heavy snow load, burned.",Too much snow and frost damage too accept Fdi at this elevation.,Likely early competition from  shrubs delaying early height growth.,"Fdi offsite here. Lot of forks, sweeps and crooks. Snow load too high. Inconsistent, often poor growth compared to Pl and Sx. Sx best. Fd seemed to look better relative to other species on steeper, rockier, S - SW facing slopes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fdi-2,08-09-2010,"LM, KM",4,93I076,54.77175,-126.82462,Fdi,2+1 BR,Oct-57,D29,"Shuswap, BC",51.02,-119.85,UNKNOWN,SBSmc2,Trans to ESSFmc,48,220,1060,6,13,Fdi,20.4,16.1,C,5,33,,,X,,,,,,,50,50,"K3, K4, K5",n/a,"K3 - Stand, K4 - Fork on tree 12, K5 - crook","Good site but steep w/ heavy snow load, burned.",Too much snow and frost damage too accept Fdi at this elevation.,Likely early competition from  shrubs delaying early height growth.,"Fdi offsite here. Lot of forks, sweeps and crooks. Snow load too high. Inconsistent, often poor growth compared to Pl and Sx. Sx best. Fd seemed to look better relative to other species on steeper, rockier, S - SW facing slopes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fdi-2,08-09-2010,"LM, KM",4,93I076,54.77175,-126.82462,Fdi,,,,,,,,SBSmc2,Trans to ESSFmc,48,220,1060,7,13,Pl,16.8,12.8,C,5,31,,,X,X,,,,,,50,50,"K3, K4, K5",n/a,"K3 - Stand, K4 - Fork on tree 12, K5 - crook","Good site but steep w/ heavy snow load, burned.",Too much snow and frost damage too accept Fdi at this elevation.,Likely early competition from  shrubs delaying early height growth.,"Fdi offsite here. Lot of forks, sweeps and crooks. Snow load too high. Inconsistent, often poor growth compared to Pl and Sx. Sx best. Fd seemed to look better relative to other species on steeper, rockier, S - SW facing slopes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fdi-2,08-09-2010,"LM, KM",4,93I076,54.77175,-126.82462,Fdi,2+1 BR,Oct-57,D29,"Shuswap, BC",51.02,-119.85,UNKNOWN,SBSmc2,Trans to ESSFmc,48,220,1060,8,13,Fdi,16,19.9,C,5,39,,,,,,,,,,50,50,"K3, K4, K5",n/a,"K3 - Stand, K4 - Fork on tree 12, K5 - crook","Good site but steep w/ heavy snow load, burned.",Too much snow and frost damage too accept Fdi at this elevation.,Likely early competition from  shrubs delaying early height growth.,"Fdi offsite here. Lot of forks, sweeps and crooks. Snow load too high. Inconsistent, often poor growth compared to Pl and Sx. Sx best. Fd seemed to look better relative to other species on steeper, rockier, S - SW facing slopes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fdi-2,08-09-2010,"LM, KM",4,93I076,54.77175,-126.82462,Fdi,,,,,,,,SBSmc2,Trans to ESSFmc,48,220,1060,9,13,Sx,21.1,30.1,D,5,39,,,,,,,,,,50,50,"K3, K4, K5",n/a,"K3 - Stand, K4 - Fork on tree 12, K5 - crook","Good site but steep w/ heavy snow load, burned.",Too much snow and frost damage too accept Fdi at this elevation.,Likely early competition from  shrubs delaying early height growth.,"Fdi offsite here. Lot of forks, sweeps and crooks. Snow load too high. Inconsistent, often poor growth compared to Pl and Sx. Sx best. Fd seemed to look better relative to other species on steeper, rockier, S - SW facing slopes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fdi-2,08-09-2010,"LM, KM",4,93I076,54.77175,-126.82462,Fdi,,,,,,,,SBSmc2,Trans to ESSFmc,48,220,1060,10,13,Pl,20.8,29.8,D,5,51,,X,,,,X,,,,50,50,"K3, K4, K5",n/a,"K3 - Stand, K4 - Fork on tree 12, K5 - crook","Good site but steep w/ heavy snow load, burned.",Too much snow and frost damage too accept Fdi at this elevation.,Likely early competition from  shrubs delaying early height growth.,"Fdi offsite here. Lot of forks, sweeps and crooks. Snow load too high. Inconsistent, often poor growth compared to Pl and Sx. Sx best. Fd seemed to look better relative to other species on steeper, rockier, S - SW facing slopes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
