Opening,Plot.ID,Mapsheet,Latitude,Longitude,Target.Species,Planting.Date,BGC.Unit,Elevation,Spp,Comments,Forest.Health,Competition,DBH.2010,Height.2010
Fdi-2,Fdi-2,93I076,54.77175,-126.82462,Fdi,Oct-57,SBSmc2,1060,Fdi,"Good site but steep w/ heavy snow load, burned.",Too much snow and frost damage too accept Fdi at this elevation.,Likely early competition from  shrubs delaying early height growth.,24.5,17.6
Fdi-6,Fdi-6,93L080,54.78572,-126.12472,Fdi,1959,SBSmc2,765,Fdi,"Good site, not a significant factor","Some sweep, occasional forking (? environmental factors)",No significant competition from density or overtopping deciduous,24.3,18.3
Fdi-10,Fdi-10,93K013,54.17801,-125.43723,Fdi,May-62,SBSdk,853,Fdi,"Moderate site, south facing","Fewer forks, crooks and sweep than in other Fdi stands. Not a significant factor at plot. In general approximately 15% incidence",Dead overstory Pl generally sparse and weren't likely a significant factor. No other competition concerns,18.6,13.2
Fdi-12,Fdi-12,93K013,54.1869,-125.44651,Fdi,May-63,SBSdk,960,Fdi,"Poor site, rocky ridge top",Many forks at young age (stunted trees),Tree competition not an issue,16.3,11.6
Fdi-22,Fdi-22,93K013,54.17964,-125.43548,Fdi,Oct-64,SBSdk,882,Fdi,"Medium site, warm and well drained.  Good for Fd.",Occasional forking.  Not common.,Not a significant adverse factor for dom and co-dom trees.  Some of the suppressed trees could be Fd seed-in,16,11.7
Fdi-24,Fdi-24,93L058,54.5156,-126.51275,Fdi,May-66,SBSdk,852,Fdi,Site varies from medium to good.  Tree performance seems uniform.,"Some forking in stand (<5%), minor sweep (speed wobbles) in 30% of stems.",Espacement normal (~ 1000 stems/ha) and no overstory competition.,24.7,17.6
Fdi-25,Fdi-25,93K024,54.28074,-125.21255,Fdi,Jun-66,SBSdk,890,Fdi,"Poor site at top of plot, medium midslope, and good on lower slope.  Warm aspect, well drained.  Generally good survival.",5% forking - frost?,Not a significant factor although there are a few trees in dense patches that are moribund.,13.5,9.3
Fdi-27,Fdi-27(1),9.30E+87,53.83325,-126.92941,Fdi,1980,SBSmc2,988,Fdi,Good site.  Heavy thimbleberry in openings my have been a contributing factor in survival.,No major FHFs evident.,Not a significant factor.,16.4,11
Fdi-27,Fdi-27(2),9.30E+87,53.83347,-126.92971,Fdi,1980,SBSmc2,1013,Fdi,Site not an important adverse factor.,"Crooks, forks, broken tops common. Not frost prone though.",Not a critical factor,15.2,9.8
Fdi-30b,Fdi-30b,93F062,53.60459,-125.5525,Fdi,1980,SBSdk,1030,Fdi,Medium site (01 poor). Warm aspect. Areas upslope with stonier dryer soils.,Lot of top kill and forks (>50%) due to frost.,Location of individual seedlot unknown.,13.8,7.9
